Excel файл;Название показателя;Код показателя;Excel колонка 2022;Excel колонка 2023;Ключевое слово 2022;Ключевое слово 2023
T24_000000_t01Ved14.xlsx;Валюта баланса;ValBal;3;4;"""2022"",""предыдущий"",""Валюта баланса""";"""2023"",""конец"",""Валюта баланса"""
T24_000000_t01Ved14.xlsx;Внеоборотные активы;VneAkt;5;6;"""2022"",""предыдущий"",""Внеоборотные активы""";"""2023"",""конец"",""Внеоборотные активы"""
T24_000000_t01Ved14.xlsx;Оборотные активы;OboAkt;7;8;"""2022"",""предыдущий"",""Оборотные активы""";"""2023"",""конец"",""Оборотные активы"""
T24_000000_t01Ved14.xlsx;Капитал и резервы;KapIRez;9;10;"""2022"",""предыдущий"",""Капитал и резервы""";"""2023"",""конец"",""Капитал и резервы"""
T24_000000_t01Ved14.xlsx;Долгосрочные обязательства;DolOby;11;12;"""2022"",""предыдущий"",""Долгосрочные обязательства""";"""2023"",""конец"",""Долгосрочные обязательства"""
T24_000000_t01Ved14.xlsx;Краткосрочные обязательства;KraOby;13;14;"""2022"",""предыдущий"",""Краткосрочные обязательства""";"""2023"",""конец"",""Краткосрочные обязательства"""
T24_000000_t01Ved14.xlsx;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;ValBalUbyOrgNaKonGoItAktUbyOrg;15;;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций
T24_000000_t01Ved14.xlsx;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;ValBalUbyOrgNaKonGoV%KValBal;16;;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;Валюта баланса убыточных организаций, на конец года в % к валюте баланса
T24_000000_t01Ved14mo8.xlsx;Валюта баланса;ValBal_1;3;4;"""2022"",""предыдущий"",""Валюта баланса""";"""2023"",""конец"",""Валюта баланса"""
T24_000000_t01Ved14mo8.xlsx;Внеоборотные активы;VneAkt_1;5;6;"""2022"",""предыдущий"",""Внеоборотные активы""";"""2023"",""конец"",""Внеоборотные активы"""
T24_000000_t01Ved14mo8.xlsx;Оборотные активы;OboAkt_1;7;8;"""2022"",""предыдущий"",""Оборотные активы""";"""2023"",""конец"",""Оборотные активы"""
T24_000000_t01Ved14mo8.xlsx;Капитал и резервы;KapIRez_1;9;10;"""2022"",""предыдущий"",""Капитал и резервы""";"""2023"",""конец"",""Капитал и резервы"""
T24_000000_t01Ved14mo8.xlsx;Долгосрочные обязательства;DolOby_1;11;12;"""2022"",""предыдущий"",""Долгосрочные обязательства""";"""2023"",""конец"",""Долгосрочные обязательства"""
T24_000000_t01Ved14mo8.xlsx;Краткосрочные обязательства;KraOby_1;13;14;"""2022"",""предыдущий"",""Краткосрочные обязательства""";"""2023"",""конец"",""Краткосрочные обязательства"""
T24_000000_t01Ved14mo8.xlsx;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;ValBalUbyOrgNaKonGoItAktUbyOrg_1;15;;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций
T24_000000_t01Ved14mo8.xlsx;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;ValBalUbyOrgNaKonGoV%KValBal_1;16;;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;Валюта баланса убыточных организаций, на конец года в % к валюте баланса
T24_000000_t03Ved14.xlsx;Внеоборотные активы;VneAkt_2;2;3;Внеоборотные активы;Внеоборотные активы
T24_000000_t03Ved14.xlsx;нематериальные активы;NemAkt;4;5;нематериальные активы;нематериальные активы
T24_000000_t03Ved14.xlsx;основные средства;OsnSre;6;7;основные средства;основные средства
T24_000000_t03Ved14.xlsx;долгосрочные финансовые вложения;DolFinVlo;8;9;долгосрочные финансовые вложения;долгосрочные финансовые вложения
T24_000000_t03Ved14.xlsx;отложенные налоговые активы;OtlNalAkt;10;11;отложенные налоговые активы;отложенные налоговые активы
T24_000000_t03Ved14.xlsx;прочие внеоборотные активы;ProVneAkt;12;13;прочие внеоборотные активы;прочие внеоборотные активы
T24_000000_t10Ved14.xlsx;Оборотные активы;OboAkt_2;3;4;Оборотные активы;Оборотные активы
T24_000000_t10Ved14.xlsx;Запасы;VToChiIzOboAktZap;5;6; Запасы; Запасы
T24_000000_t10Ved14.xlsx;налог на добавленную стоимость по приобретенным ценностям;VToChiIzOboAktNalNaDobStoPoPriTse;7;8; налог на добавленную стоимость по приобретенным ценностям; налог на добавленную стоимость по приобретенным ценностям
T24_000000_t10Ved14.xlsx;дебиторская задолженность;VToChiIzOboAktDebZad;9;10;в том числе из оборотных активов: дебиторская задолженность;в том числе из оборотных активов: дебиторская задолженность
T24_000000_t10Ved14.xlsx;краткосрочные финансовые вложения (за исключением денежных эквивалентов);VToChiIzOboAktKraFinVlo(zIskDenEkv;11;12;в том числе из оборотных активов: краткосрочные финансовые вложения (за исключением денежных эквивалентов);в том числе из оборотных активов: краткосрочные финансовые вложения (за исключением денежных эквивалентов)
T24_000000_t10Ved14.xlsx;денежные средства и денежные эквиваленты;VToChiIzOboAktDenSreIDenEkv;13;14;в том числе из оборотных активов: денежные средства и денежные эквиваленты;в том числе из оборотных активов: денежные средства и денежные эквиваленты
T24_000000_t10Ved14.xlsx;прочие оборотные активы;VToChiIzOboAktProOboAkt;15;16;в том числе из оборотных активов: прочие оборотные активы;в том числе из оборотных активов: прочие оборотные активы
